jfisgk3p
category,Spurs,Knicks,Warriors,series-3,Boston Celtics,LA Lakers,Cleveland Cavaliers
2023,,0.433,0.462,0.4,0.455,0.5,0.378
2022,,0.435,0.464,0.4,0.45,0.429,0.375
2021,0.433,0.418,0.464,0.4,0.461,0.4,0.379
2020,0.4,0.409,0.458,0.389,0.457,0.442,0.376
2019,0.375,0.4,0.45,0.388,0.442,0.411,0.375
2018,0.389,0.42,0.436,0.375,0.39,0.438,0.378
2017,0.378,0.389,0.42,0.4,0.382,0.459,0.36
2016,0.4,0.421,0.421,0.4,0.389,0.444,0.382
2015,0.413,0.413,0.389,0.4,0.389,0.435,0.381
2014,0.4,0.435,0.45,0.4,0.353,0.413,0.38
2013,0.376,0.373,0.421,0.4,0.388,0.4,0.368
2012,0.389,0.375,0.389,0.4,0.411,0.4,0.367
2011,0.375,0.4,0.376,0.4,0.376,0.415,0.353
2010,0.376,0.4,0.375,0.4,0.375,0.417,0.35
